Province	Abbreviation	SummaryDate	TotalCases	DailyTotals	TotalRecovered	DailyRecovered	TotalDeaths	DailyDeaths	TotalTested	DailyTested	TotalActive	DailyActive	TotalHospitalized	DailyHospitalized	TotalICU	DailyICU	TotalVaccinated	DailyVaccinated	TotalDose1	DailyDose1	TotalDose2	DailyDose2	TotalBooster	DailyBooster
REPATRIATED	RC	04/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QUEBEC	QC	04/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEI	PE	04/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ONTARIO	ON	04/02/2020	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
NL	NL	04/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEW BRUNSWICK	NB	04/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANITOBA	MB	04/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC	BC	04/02/2020	2	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
ALBERTA	AB	04/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUNAVUT	NU	04/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOVA SCOTIA	NS	04/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEI	PE	05/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ONTARIO	ON	05/02/2020	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
YUKON	YT	05/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SASKATCHEWAN	SK	05/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REPATRIATED	RC	05/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QUEBEC	QC	05/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWT	NT	05/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUNAVUT	NU	05/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NL	NL	05/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEW BRUNSWICK	NB	05/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANITOBA	MB	05/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC	BC	05/02/2020	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ALBERTA	AB	05/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOVA SCOTIA	NS	05/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YUKON	YT	06/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SASKATCHEWAN	SK	06/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REPATRIATED	RC	06/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QUEBEC	QC	06/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEI	PE	06/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ONTARIO	ON	06/02/2020	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
NWT	NT	06/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUNAVUT	NU	06/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOVA SCOTIA	NS	06/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NL	NL	06/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEW BRUNSWICK	NB	06/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANITOBA	MB	06/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC	BC	06/02/2020	4	2	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0
ALBERTA	AB	06/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
